1,C2,36
!,C#2,37
2,D2,38
@,D#2,39
3,E2,40
4,F2,41
$,F#2,42
5,G2,43
%,G#2,44
6,A2,45
^,A#2,46
7,B2,47
8,C3,48
*,C#3,49
9,D3,50
(,D#3,51
0,E3,52
q,F3,53
Q,F#3,54
w,G3,55
W,G#3,56
e,A3,57
E,A#3,58
r,B3,59
t,C4,60
T,C#4,61
y,D4,62
Y,D#4,63
u,E4,64
i,F4,65
I,F#4,66
o,G4,67
O,G#4,68
p,A4,69
P,A#4,70
a,B4,71
s,C5,72
S,C#5,73
d,D5,74
D,D#5,75
f,E5,76
g,F5,77
G,F#5,78
h,G5,79
H,G#5,80
j,A5,81
J,A#5,82
k,B5,83
l,C6,84
L,C#6,85
z,D6,86
Z,D#6,87
x,E6,88
c,F6,89
C,F#6,90
v,G6,91
V,G#6,92
b,A6,93
B,A#6,94
n,B6,95
